SMSA	PLINE	PERSON	HERE	PQOTHNR	PQSALNR	PQSELFNR	PQALIM	PQDIV	PQINT	PQOTHER	PQRENT	PQRETIR	PQSAL	PQSELF	PQSS	PQSSI	PQWELF	PQWKCMP	RNTDUE	LODRNT	FOOD	LODSTA	WLINEQ	MOVM	MOVE	TEN	MVG	PHEAR	PSEE	PMEMRY	PWALK	PCARE	PERRND	CITSHP	JITSHP	NATVTY	REL	AGE	SEX	MAR	PAR	GRAD	SPOS	SPAN	JREL	JAGE	JSEX	JMAR	JPAR	JSPAN	JGRAD	JSPOS	FAMNUM	FAMTYP	FAMREL	INUSYR	JATVTY	JNUSYR	JTEN	JMOVE	JMOVM	JMVG	JHERE	JPQSAL	JPQSELF	JPQINT	JPQSS	JPQSSI	JPQWELF	JPQRETIR	JPQALIM	JPQOTHER	JPQSALNR	JPQSLFNR	JPQOTHNR	JPQDIV	JPQRENT	JPQWKCMP	RACE	PVOTHER	JSAL	SAL	JRACE	JPVOTHER	CONTROL
5560	5	5	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	12	2005	 	1	2	2	2	2	2	B	1	 	057	22	9	2	B	2	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	 	 	 	 	 	000000018876
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	2	2009	X	1	2	2	2	2	2	2	1	 	057	1	37	1	6	 	42	 	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	35000	 	 	000000000023
5560	2	2	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	2	2009	 	1	2	2	B	B	B	B	1	 	057	22	4	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	 	 	 	 	 	000000000023
5560	1	1	B	B	B	B	2	1	1	2	2	2	2	2	1	2	2	2	 	 	B	B	2	6	2008	X	1	2	2	2	1	2	2	1	 	057	1	49	1	1	 	40	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	122101	 	0	 	 	000000018877
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	6	2008	X	1	2	2	2	2	2	2	1	 	057	20	46	2	1	 	44	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	90000	 	 	000000018877
5560	3	3	B	B	B	B	2	2	2	2	2	2	2	2	2	2	2	2	 	 	B	B	2	6	2008	 	1	2	2	2	2	2	2	1	 	057	22	17	1	6	1	38	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	0	 	 	000000018877
5560	4	4	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	6	2008	 	1	2	2	2	2	2	2	1	 	057	22	15	2	6	1	35	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	 	 	 	 	 	000000018877
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	1	2007	X	1	2	2	2	2	2	2	1	 	057	2	29	2	6	 	44	 	2	 	 	 	 	 	 	 	 	0	2	0	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	2	1	 	 	000000000026
5560	1	1	B	B	B	B	1	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	4	1990	X	B	2	2	2	2	2	2	1	 	057	1	50	2	4	 	45	 	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	01	14400	 	60000	 	 	000000000030
5560	3	3	B	B	B	B	2	2	2	2	2	2	2	2	2	2	2	2	 	 	B	B	2	4	1990	 	B	2	2	2	2	2	2	1	 	057	22	20	2	6	1	40	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	0	 	 	000000000030
5560	4	4	B	B	B	B	2	2	2	2	2	2	2	2	2	2	2	2	 	 	B	B	2	10	1992	 	B	2	2	2	2	2	2	1	 	057	22	16	1	6	1	36	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	0	 	 	000000000030
5560	5	5	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	5	1997	 	B	2	2	2	2	2	B	1	 	057	22	12	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	 	 	 	 	 	000000000030
5560	1	1	B	B	B	B	2	2	1	2	1	2	1	2	2	2	2	1	 	 	B	B	1	4	2004	X	B	2	2	2	2	2	2	3	 	242	1	51	1	4	 	39	 	2	 	 	 	 	 	 	 	 	1	1	1	1981	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	30030	 	40000	 	 	000000018879
5560	2	2	1	2	2	2	B	B	B	B	B	B	B	B	B	B	B	B	 	 	 	 	2	4	2004	 	B	2	2	2	2	2	2	5	 	242	32	43	2	4	 	39	 	2	 	 	 	2	 	 	 	 	0	5	0	1999	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	0	 	0	 	 	000000018879
5560	3	3	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	1	 	 	B	B	1	4	2004	 	B	2	2	2	2	2	2	5	 	242	25	45	1	2	 	39	 	2	 	 	 	 	 	 	 	 	1	1	4	1981	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	7000	 	8000	 	 	000000018879
5560	1	1	B	B	B	B	2	2	2	2	2	2	2	2	1	2	2	2	 	 	B	B	2	6	1999	X	B	2	2	2	2	2	2	1	 	057	2	82	2	3	 	43	 	2	 	 	 	 	 	 	 	 	0	2	0	 	 	 	 	 	 	1	 	 	 	1	 	 	 	 	 	 	 	 	 	1	 	 	01	15600	 	0	 	 	000000000003
5560	1	1	B	B	B	B	2	2	2	2	1	2	1	2	2	2	2	2	 	 	B	B	1	8	2006	X	1	2	2	2	2	2	2	1	 	057	1	41	1	1	 	44	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	30600	 	60000	 	 	000000018880
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	1	2	2	2	2	 	 	B	B	1	8	2006	X	1	2	2	2	2	2	2	1	 	057	20	38	2	1	 	44	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	40000	2	1	 	 	000000018880
5560	3	3	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	8	2006	 	1	2	2	2	2	2	B	1	 	057	22	11	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	 	 	 	 	 	000000018880
5560	1	1	B	B	B	B	2	2	2	2	2	2	2	1	2	2	2	2	 	 	B	B	1	2	1990	X	B	1	2	2	2	2	2	1	 	057	1	54	1	1	 	39	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	1	 	0	 	4	000000000036
5560	2	2	B	B	B	B	2	2	2	2	2	2	2	2	2	2	2	2	 	 	B	B	1	2	1990	X	B	2	2	2	2	2	2	1	 	057	20	53	2	1	 	39	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	1	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	0	 	 	000000000036
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	7	2008	X	1	2	2	2	2	2	2	1	 	057	1	51	2	1	 	44	2	2	1	 	 	1	 	 	 	1	1	1	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	0	2	1	 	 	000000000038
5560	2	2	B	B	B	B	2	2	2	2	2	2	2	2	2	2	2	2	 	 	B	B	 	4	2002	 	B	2	2	2	2	2	2	1	 	057	20	34	1	1	 	39	1	2	 	 	2	 	 	 	2	 	1	1	2	 	 	 	 	 	 	1	 	2	2	2	2	2	2	2	2	2	 	 	 	2	2	2	02	0	 	0	 	 	000000000038
5560	3	3	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	4	2002	 	B	2	2	2	2	2	B	1	 	057	22	10	2	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	02	 	 	 	 	 	000000000038
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	12	2006	X	1	2	2	2	2	2	2	5	 	242	1	39	1	1	 	39	2	2	 	 	 	 	 	 	 	 	1	1	1	2004	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	0	4	34500	 	 	000000018882
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	12	2006	X	1	2	2	2	2	2	2	5	 	242	20	37	2	1	 	34	1	2	 	 	 	 	 	 	 	 	1	1	2	2004	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	0	4	34500	 	 	000000018882
5560	3	3	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	12	2006	 	1	2	2	2	2	2	B	5	 	242	22	12	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	2004	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	 	 	 	 	 	000000018882
5560	4	4	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	12	2006	 	1	2	2	2	2	2	B	5	 	242	22	9	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	2004	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	04	 	 	 	 	 	000000018882
5560	1	1	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	2	10	1991	X	B	2	2	2	2	2	2	1	 	057	1	39	2	1	 	44	2	2	 	 	 	 	 	 	 	 	1	1	1	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	23000	 	 	000000000040
5560	2	2	B	B	B	B	2	2	2	2	2	2	1	2	2	2	2	2	 	 	B	B	1	10	1991	X	B	2	2	2	2	2	2	1	 	057	20	41	1	1	 	46	1	2	 	 	 	 	 	 	 	 	1	1	2	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	0	 	103000	 	 	000000000040
5560	3	3	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	 	 	B	B	B	2	1999	 	B	2	2	2	2	2	B	1	 	057	22	10	1	B	1	 	 	2	 	 	 	 	 	 	 	 	1	1	3	 	 	 	 	 	 	1	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	01	 	 	 	 	 	000000000040
