"","CONTROL","transport_mode","journey_time","journey_distance","gender","income","age","transport_wide","percent_time"
"287",717,"Van",15,15,"male",0,17,"Personal_vehicle",1.04166666666667
"289",722,"Truck",45,60,"male",30000,55,"Personal_vehicle",3.125
"290",723,"Car",30,25,"male",0,18,"Personal_vehicle",2.08333333333333
"292",728,"Car",10,7,"female",32000,45,"Personal_vehicle",0.694444444444444
"293",734,"Car",5,3,"female",26000,48,"Personal_vehicle",0.347222222222222
"294",735,"Car",45,40,"female",0,48,"Personal_vehicle",3.125
"295",737,"Truck",8,5,"male",65000,36,"Personal_vehicle",0.555555555555556
"296",745,"Truck",5,6,"male",0,17,"Personal_vehicle",0.347222222222222
"297",751,"Car",12,6,"female",20000,60,"Personal_vehicle",0.833333333333333
"298",753,"Truck",55,45,"male",8000,29,"Personal_vehicle",3.81944444444444
"299",754,"Car",30,20,"male",0,22,"Personal_vehicle",2.08333333333333
"300",758,"Car",30,10,"female",0,69,"Personal_vehicle",2.08333333333333
"301",759,"Car",30,15,"male",0,30,"Personal_vehicle",2.08333333333333
"302",769,"Car",40,25,"male",10000,58,"Personal_vehicle",2.77777777777778
"303",773,"Truck",15,10,"male",15600,57,"Personal_vehicle",1.04166666666667
"304",775,"Car",20,15,"female",21000,28,"Personal_vehicle",1.38888888888889
"305",782,"Truck",20,15,"female",18000,50,"Personal_vehicle",1.38888888888889
"306",784,"Truck",10,4,"male",28000,56,"Personal_vehicle",0.694444444444444
"307",785,"Car",25,20,"male",3000,22,"Personal_vehicle",1.73611111111111
"308",787,"Truck",10,5,"male",0,55,"Personal_vehicle",0.694444444444444
"309",789,"Truck",30,25,"male",120000,60,"Personal_vehicle",2.08333333333333
"310",790,"Car",60,50,"male",0,88,"Personal_vehicle",4.16666666666667
"312",795,"Truck",3,3,"male",11538,21,"Personal_vehicle",0.208333333333333
"313",796,"Truck",15,10,"male",262070,56,"Personal_vehicle",1.04166666666667
"314",802,"Car",2,2,"male",0,19,"Personal_vehicle",0.138888888888889
"315",803,"Truck",90,60,"female",48000,50,"Personal_vehicle",6.25
"316",810,"Truck",10,3,"male",70000,24,"Personal_vehicle",0.694444444444444
"318",818,"Truck",60,35,"male",5000,21,"Personal_vehicle",4.16666666666667
"319",1134,"Car",10,4,"female",8400,20,"Personal_vehicle",0.694444444444444
"320",1138,"Truck",30,12,"male",20000,53,"Personal_vehicle",2.08333333333333
"321",1149,"Car",60,25,"male",40000,30,"Personal_vehicle",4.16666666666667
"322",1157,"Car",30,35,"male",35000,24,"Personal_vehicle",2.08333333333333
"323",1169,"Car",30,10,"male",32000,58,"Personal_vehicle",2.08333333333333
"324",1174,"Car",40,25,"male",15000,32,"Personal_vehicle",2.77777777777778
"325",1183,"Car",20,5,"male",1,29,"Personal_vehicle",1.38888888888889
