"","CONTROL","transport_mode","journey_time","journey_distance","gender","income","age","transport_wide","percent_time"
"607",2292,"Truck",10,5,"male",33000,35,"Personal_vehicle",0.694444444444444
"608",2294,"Truck",15,15,"female",40000,29,"Personal_vehicle",1.04166666666667
"609",2298,"Car",15,10,"female",0,59,"Personal_vehicle",1.04166666666667
"610",2300,"Bus_Streetcar",60,13,"male",16000,49,"Public_transit",4.16666666666667
"611",2303,"Car",10,8,"female",3120,23,"Personal_vehicle",0.694444444444444
"612",2307,"Car",5,3,"male",17680,31,"Personal_vehicle",0.347222222222222
"613",2311,"Car",15,1,"female",10480,62,"Personal_vehicle",1.04166666666667
"614",2317,"Truck",30,10,"female",1200,63,"Personal_vehicle",2.08333333333333
"615",2321,"Car",15,10,"female",9600,82,"Personal_vehicle",1.04166666666667
"616",2323,"Truck",30,30,"male",0,67,"Personal_vehicle",2.08333333333333
"618",2327,"Car",40,23,"male",63789,54,"Personal_vehicle",2.77777777777778
