SMSA	PERSON	PASS	TRAN	TIMEJ	DISTJ	WHHRW	WHHRB	AMPM	HJOB	VEHCL	WHDY	WHOME	WTIME	JTRAN	JVEHCL	JPASS	JTIMEJ	JDISTJ	JWTIME	JWHHRW	JWHHRB	JWHDY	CONTROL
5560	2	 	11	5	0	15	0	1	1	B	4	1	1000	 	 	 	 	1	 	 	 	 	000000002826
5560	1	 	2	15	12	10	0	1	1	1	0	1	0645	 	 	 	 	 	 	 	 	 	000000002830
5560	2	 	12	996	996	20	20	B	1	B	5	1	B	 	 	 	1	1	 	 	 	 	000000002830
5560	3	 	2	45	25	 	0	1	2	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000002830
5560	5	 	2	15	15	10	0	1	1	1	0	1	0700	 	 	 	 	 	 	 	 	 	000000002830
5560	1	 	1	15	15	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000002832
5560	2	 	1	15	7	 	0	1	1	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000002832
5560	1	 	1	10	5	 	2	1	1	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000002836
5560	2	 	1	25	15	40	0	1	1	1	0	1	0615	 	 	 	 	 	 	 	 	 	000000002840
5560	1	 	12	996	996	 	0	B	1	B	0	1	B	 	 	 	1	1	 	 	 	 	000000002846
5560	2	 	12	996	996	 	0	B	1	B	0	1	B	 	 	 	1	1	 	 	 	 	000000002846
5560	1	 	1	45	40	 	2	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000002848
5560	1	 	1	30	25	1	0	1	1	1	0	1	0630	 	 	 	 	 	 	 	 	 	000000002851
5560	2	2	1	20	17	 	0	1	2	2	B	2	0630	 	 	 	 	2	 	 	 	 	000000002851
5560	2	 	12	996	996	1	15	B	1	B	3	1	B	 	 	 	1	1	 	 	 	 	000000002852
5560	1	 	1	5	4	 	0	1	1	1	B	2	R	 	 	 	 	2	 	 	 	 	000000002856
5560	2	 	1	5	4	 	0	1	1	1	B	2	R	 	 	 	2	2	 	 	 	 	000000002856
5560	1	 	1	20	10	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000002858
5560	2	 	1	10	5	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000002858
5560	2	 	1	16	8	15	10	1	2	1	2	1	1000	 	 	 	2	 	 	 	 	 	000000002860
5560	3	 	1	10	2	 	0	2	1	1	B	2	0330	 	 	 	 	 	 	 	 	 	000000002860
5560	2	 	1	5	2	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000002863
5560	1	 	1	20	3	 	0	2	1	1	B	2	0300	 	 	 	 	 	 	 	 	 	000000002865
5560	2	 	1	10	1	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000002865
5560	1	 	1	20	2	 	0	1	1	1	B	2	0600	 	 	 	 	 	 	 	 	 	000000002868
5560	1	 	1	1	1	 	0	1	1	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000002870
5560	2	 	2	10	10	 	0	1	2	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000002870
5560	2	 	2	10	2	 	2	2	1	1	B	2	1240	 	 	 	 	 	 	 	 	 	000000002872
5560	1	 	1	15	3	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000002881
5560	1	3	2	30	6	 	0	1	1	2	B	2	0600	 	 	 	 	2	 	 	 	 	000000002883
5560	1	 	2	12	6	 	2	1	1	1	B	2	0845	 	 	 	 	 	 	 	 	 	000000002888
5560	2	 	1	20	15	 	2	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000002888
5560	2	 	1	15	11	 	0	1	1	1	B	2	0730	 	 	 	 	2	 	 	 	 	000000002893
5560	1	 	2	20	17	 	0	2	1	1	B	2	1030	 	 	 	 	 	 	 	 	 	000000002895
5560	2	 	3	70	29	 	0	1	1	1	B	2	0650	 	 	 	 	 	 	 	 	 	000000002895
5560	1	 	1	35	12	2	0	1	1	1	0	1	0745	 	 	 	 	 	 	 	 	 	000000002900
5560	2	 	2	15	8	 	0	1	1	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000002900
5560	1	 	2	6	3	4	0	1	1	1	0	1	0700	 	 	 	 	 	 	 	 	 	000000002902
5560	2	 	1	10	3	 	0	2	1	1	B	2	1000	 	 	 	 	 	 	 	 	 	000000002902
5560	1	 	2	20	4	 	0	1	1	1	B	2	1000	 	 	 	 	 	 	 	 	 	000000002904
5560	2	 	1	5	1	 	0	1	1	1	B	2	0840	 	 	 	 	 	 	 	 	 	000000002904
5560	2	 	1	30	15	 	50	1	2	1	B	2	0900	 	 	 	 	 	 	 	 	 	000000002911
5560	1	 	3	40	20	 	0	1	1	1	B	2	0745	 	 	 	 	 	 	 	 	 	000000002918
5560	1	 	1	20	10	 	0	1	1	1	B	2	0535	 	 	 	 	2	 	 	 	 	000000002921
5560	3	2	1	20	12	 	0	D	1	2	B	2	D	 	 	 	 	 	 	 	 	 	000000002925
5560	1	 	3	20	10	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000002927
5560	4	3	1	60	40	 	2	1	1	2	B	2	0600	 	 	 	 	 	 	 	 	 	000000002929
5560	6	 	1	60	70	 	2	1	1	1	B	2	0601	 	 	 	 	 	 	 	 	 	000000002929
5560	1	 	1	40	13	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000002931
5560	2	 	2	20	10	 	0	1	1	1	B	2	0615	 	 	 	 	 	 	 	 	 	000000002931
5560	4	 	1	15	2	 	0	2	1	1	B	2	0415	 	 	 	 	 	 	 	 	 	000000002931
5560	3	 	2	10	7	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000002937
5560	5	 	1	15	7	 	0	1	1	1	B	2	0730	 	 	 	 	 	 	 	 	 	000000002937
5560	6	 	2	15	7	 	30	D	1	1	B	D	D	 	 	 	2	2	 	 	 	 	000000002937
5560	2	2	2	40	20	 	0	1	1	2	B	2	0700	 	 	 	 	 	 	 	 	 	000000002939
5560	3	 	2	5	5	 	0	1	2	1	B	2	0850	 	 	 	 	 	 	 	 	 	000000002939
5560	1	 	1	30	20	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000002941
5560	1	 	11	25	2	 	0	2	1	B	B	2	0500	 	 	 	 	 	 	 	 	 	000000002943
5560	2	 	11	20	1	 	0	2	1	B	B	2	0430	 	 	 	 	1	 	 	 	 	000000002943
5560	2	 	2	30	20	 	0	1	1	1	B	2	0530	 	 	 	 	2	 	 	 	 	000000002945
5560	1	 	1	25	5	 	0	2	1	1	B	2	0300	 	 	 	 	 	 	 	 	 	000000002947
5560	1	 	2	15	8	 	0	1	1	1	B	2	0330	 	 	 	 	 	 	 	 	 	000000002949
5560	1	 	1	2	1	 	0	2	1	1	B	2	0130	 	 	 	 	 	 	 	 	 	000000002959
5560	2	 	1	5	4	 	0	1	1	1	B	2	0800	 	 	 	 	 	 	 	 	 	000000002959
5560	1	 	1	15	5	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000002961
5560	2	 	1	7	9	 	0	1	1	1	B	2	0545	 	 	 	 	1	 	 	 	 	000000002961
5560	3	 	1	15	10	 	0	1	1	1	B	2	1030	 	 	 	 	 	 	 	 	 	000000002961
5560	4	 	1	30	25	 	0	1	1	1	B	2	0530	 	 	 	 	 	 	 	 	 	000000002961
5560	1	 	1	20	17	 	0	1	1	1	B	2	0430	 	 	 	 	2	 	 	 	 	000000002963
5560	2	 	1	30	26	 	0	2	1	1	B	2	0500	 	 	 	 	2	 	 	 	 	000000002963
5560	1	 	2	10	5	 	0	1	1	1	B	2	0700	 	 	 	 	 	 	 	 	 	000000002965
5560	1	 	1	15	5	 	0	1	1	1	B	2	0645	 	 	 	 	 	 	 	 	 	000000002967
5560	2	 	12	996	996	5	0	B	2	B	4	1	B	 	 	 	1	1	 	 	 	 	000000002967
5560	1	 	1	25	13	 	0	1	1	1	B	2	0630	 	 	 	 	 	 	 	 	 	000000002969
